yearmonth,region,fueltype,cost
2022년11월,대구,경유,1845.14
2022년12월,대구,경유,1735.71
2023년01월,대구,경유,1626.49
2023년02월,대구,경유,1557.98
2023년03월,대구,경유,1496.29
2023년04월,대구,경유,1502.55
2023년05월,대구,경유,1422.07
2023년06월,대구,경유,1350.97
2023년07월,대구,경유,1365.36
2023년08월,대구,경유,1561.24
2023년09월,대구,경유,1637.13
2023년10월,대구,경유,1647.08
2023년11월,대구,경유,1585.18
2023년12월,대구,경유,1478.81
2024년01월,대구,경유,1434.82
2024년02월,대구,경유,1485.28
2024년03월,대구,경유,1505.28
2024년04월,대구,경유,1522.65
2024년05월,대구,경유,1495.47
2024년06월,대구,경유,1441.93
2024년07월,대구,경유,1512.06
2024년08월,대구,경유,1492.63
2024년09월,대구,경유,1415.41
2024년10월,대구,경유,1379.85
2024년11월,대구,경유,1424.26
2024년12월,대구,경유,1464.66
2025년01월,대구,경유,1534.73
2025년02월,대구,경유,1562.8
2025년03월,대구,경유,1517.56
2025년04월,대구,경유,1469.02
2025년05월,대구,경유,1457.75
2020년01월,인천,경유,1399.85
2020년02월,인천,경유,1358.05
2020년03월,인천,경유,1263.1
2020년04월,인천,경유,1109.82
2020년05월,인천,경유,1055.62
2020년06월,인천,경유,1147.19
2020년07월,인천,경유,1164.95
2020년08월,인천,경유,1165.76
2020년09월,인천,경유,1146.78
2020년10월,인천,경유,1130.53
2020년11월,인천,경유,1113.48
2020년12월,인천,경유,1181.15
2021년01월,인천,경유,1257.51
2021년02월,인천,경유,1267.79
2021년03월,인천,경유,1318.48
2021년04월,인천,경유,1331.16
2021년05월,인천,경유,1338.54
2021년06월,인천,경유,1377.04
2021년07월,인천,경유,1430.12
2021년08월,인천,경유,1439.06
2021년09월,인천,경유,1437.99
2021년10월,인천,경유,1517.04
2021년11월,인천,경유,1543.65
2021년12월,인천,경유,1457
2022년01월,인천,경유,1454.45
2022년02월,인천,경유,1549.02
2022년03월,인천,경유,1840.95
2022년04월,인천,경유,1902.83
2022년05월,인천,경유,1961.82
2022년06월,인천,경유,2091.4
2022년07월,인천,경유,2071.56
2022년08월,인천,경유,1867.38
2022년09월,인천,경유,1844.9
2022년10월,인천,경유,1839.83
2022년11월,인천,경유,1874.05
2022년12월,인천,경유,1753.52
2023년01월,인천,경유,1649.21
2023년02월,인천,경유,1579.82
2023년03월,인천,경유,1516.49
2023년04월,인천,경유,1530.29
2023년05월,인천,경유,1437.73
2023년06월,인천,경유,1370.2
2023년07월,인천,경유,1398.39
2023년08월,인천,경유,1599.91
2023년09월,인천,경유,1665.36
2023년10월,인천,경유,1676.89
2023년11월,인천,경유,1605.79
2023년12월,인천,경유,1510.53
2024년01월,인천,경유,1470.35
2024년02월,인천,경유,1521.67
2024년03월,인천,경유,1539.92
2024년04월,인천,경유,1558.05
2024년05월,인천,경유,1526.28
2024년06월,인천,경유,1459.57
2024년07월,인천,경유,1546.7
2024년08월,인천,경유,1535.63
2024년09월,인천,경유,1450.28
2024년10월,인천,경유,1418.79
2024년11월,인천,경유,1465.04
2024년12월,인천,경유,1495.39
2025년01월,인천,경유,1568.22
2025년02월,인천,경유,1594.8
2025년03월,인천,경유,1534.43
2025년04월,인천,경유,1501.87
2025년05월,인천,경유,1499.86
2020년01월,광주,경유,1380.82
2020년02월,광주,경유,1351.32
2020년03월,광주,경유,1269.8
2020년04월,광주,경유,1126.7
2020년05월,광주,경유,1054.65
2020년06월,광주,경유,1107.95
2020년07월,광주,경유,1144.95
2020년08월,광주,경유,1142.78
2020년09월,광주,경유,1130.11
2020년10월,광주,경유,1108.94
2020년11월,광주,경유,1096.49
2020년12월,광주,경유,1152.44
2021년01월,광주,경유,1228.48
2021년02월,광주,경유,1246.34
2021년03월,광주,경유,1297.97
2021년04월,광주,경유,1316.76
2021년05월,광주,경유,1323.26
2021년06월,광주,경유,1365.51
2021년07월,광주,경유,1415.2
2021년08월,광주,경유,1428.62
2021년09월,광주,경유,1425
2021년10월,광주,경유,1494.43
2021년11월,광주,경유,1540.08
2021년12월,광주,경유,1469.99
2022년01월,광주,경유,1453.01
2022년02월,광주,경유,1523.05
2022년03월,광주,경유,1800.91
2022년04월,광주,경유,1890.23
2022년05월,광주,경유,1946
2022년06월,광주,경유,2062.29
2022년07월,광주,경유,2073.02
2022년08월,광주,경유,1876.14
2022년09월,광주,경유,1828.3
2022년10월,광주,경유,1815.17
2022년11월,광주,경유,1861.7
2022년12월,광주,경유,1760.62
2023년01월,광주,경유,1659.21
2023년02월,광주,경유,1590.23
2023년03월,광주,경유,1525.23
2023년04월,광주,경유,1509.42
2023년05월,광주,경유,1444.74
2023년06월,광주,경유,1375.96
2023년07월,광주,경유,1377.76
2023년08월,광주,경유,1533.16
2023년09월,광주,경유,1642.89
2023년10월,광주,경유,1671.36
2023년11월,광주,경유,1610.59
2023년12월,광주,경유,1503.69
2024년01월,광주,경유,1457.4
2024년02월,광주,경유,1497.6
2024년03월,광주,경유,1519.68
2024년04월,광주,경유,1539.87
2024년05월,광주,경유,1520.67
2024년06월,광주,경유,1473.58
2024년07월,광주,경유,1522.5
2024년08월,광주,경유,1510.53
2024년09월,광주,경유,1435.84
2024년10월,광주,경유,1395.78
2024년11월,광주,경유,1436.8
2024년12월,광주,경유,1479.5
2025년01월,광주,경유,1545.93
2025년02월,광주,경유,1583.6
2025년03월,광주,경유,1548.83
2025년04월,광주,경유,1502.4
2025년05월,광주,경유,1489.87
2020년01월,대전,경유,1398.58
2020년02월,대전,경유,1346.97
2020년03월,대전,경유,1241.51
2020년04월,대전,경유,1095.57
2020년05월,대전,경유,1046.07
2020년06월,대전,경유,1129.82
2020년07월,대전,경유,1155.51
2020년08월,대전,경유,1151.05
2020년09월,대전,경유,1135.61
2020년10월,대전,경유,1111.97
2020년11월,대전,경유,1105.82
2020년12월,대전,경유,1171.27
2021년01월,대전,경유,1239.49
2021년02월,대전,경유,1259.76
2021년03월,대전,경유,1307.47
2021년04월,대전,경유,1322.43
2021년05월,대전,경유,1332.59
2021년06월,대전,경유,1376.62
2021년07월,대전,경유,1424.74
